Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Acacia microcarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,6.1,11,,,,,,,1
Acacia mimula,species,Angiosperm,tree,broadleaved,,,23.799,4,186.22,4,,,167,4,,,,,,,3
Acacia mitchellii,species,Angiosperm,tree,broadleaved,,,,,,,,,15.47,6,,,,,,,1
Acacia modesta,species,Angiosperm,tree,broadleaved,,,,,,,,,31.745,12,0.83,2,,,,0.83,2
Acacia mollifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,20.29,6,,,,,,,1
Acacia montana,species,Angiosperm,tree,broadleaved,,,,,,,,,8.955,17,,,,,,,1
Acacia monticola,species,Angiosperm,tree,broadleaved,,,,,,,8,2,22.89,10,,,,,,,2
Acacia montis-usti,species,Angiosperm,tree,broadleaved,,,,,,,,,341.77,6,,,,,,,1
Acacia mucronata,species,Angiosperm,tree,broadleaved,,,,,,,,,7.36,19,,,,,,,1
Acacia multispicata,species,Angiosperm,tree,broadleaved,,,,,,,,,7.254,7,,,,,,,1
Acacia murrayana,species,Angiosperm,tree,broadleaved,,,,,,,8,2,34.513,13,0.51,2,,,,0.51,3
Acacia neovernicosa,species,Angiosperm,tree,broadleaved,,,,,,,,,8.77,10,,,,,,,1
Acacia neurophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,3.835,12,,,,,,,1
Acacia nigrescens,species,Angiosperm,tree,broadleaved,7308.73,6,29.214,18,111.894,6,9.485,15,190.833,8,,,,,,,5
Acacia nilotica,species,Angiosperm,tree,broadleaved,1691.79,9,19.87,7,192.764,6,5.35,23,133.569,78,0.771,14,,,,0.771,6
Acacia nilotica subsp. adstringens,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,139.77,6,,,,,,,1
Acacia nodiflora,species,Angiosperm,tree,broadleaved,,,,,,,,,21.55,6,,,,,,,1
Acacia notabilis,species,Angiosperm,tree,broadleaved,,,,,,,,,15.74,6,,,,,,,1
Acacia obliquinervia,species,Angiosperm,tree,broadleaved,,,,,,,,,26.55,11,,,,,,,1
Acacia obtusata,species,Angiosperm,tree,broadleaved,,,,,,,,,16.653,21,,,,,,,1
Acacia obtusifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,21.22,6,,,,,,,1
Acacia occidentalis,species,Angiosperm,tree,broadleaved,,,,,,,,,227.494,16,,,,,,,1
Acacia oerfota,species,Angiosperm,tree,broadleaved,,,,,,,,,82.719,13,,,,,,,1
Acacia olgana,species,Angiosperm,tree,broadleaved,,,19.65,1,,,,,,,,,,,,,1
Acacia omalophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.06,4,,,,1.06,1
Acacia ophiolithica,species,Angiosperm,tree,broadleaved,,,,,,,,,1.84,6,,,,,,,1
Acacia oraria,species,Angiosperm,tree,broadleaved,,,,,,,,,33,7,0.92,2,,,,0.92,2
Acacia origena,species,Angiosperm,tree,broadleaved,,,,,,,,,94,6,,,,,,,1
Acacia oshanesii,species,Angiosperm,tree,broadleaved,,,,,,,,,14.1,6,0.77,4,,,,0.77,2
Acacia pachycarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,175,7,0.86,2,,,,0.86,2
Acacia pallidifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.68,2,,,,0.68,1
Acacia papyrocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.967,6,,,,0.967,1
Acacia parramattensis,species,Angiosperm,tree,broadleaved,,,,,96.712,1,,,9.38,6,,,,,,,2
Acacia parvipinnula,species,Angiosperm,tree,broadleaved,,,,,,,,,11.89,6,,,,,,,1
Acacia pellita,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.67,2,,,,0.67,1
Acacia pendula,species,Angiosperm,tree,broadleaved,,,,,,,,,20.848,14,0.99,2,,,,0.99,2
Acacia pennatula,species,Angiosperm,tree,broadleaved,,,,,,,,,83.273,7,,,,,,,1
Acacia pervillei,species,Angiosperm,tree,broadleaved,,,,,,,,,43.49,6,,,,,,,1
Acacia peuce,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.22,2,,,,1.22,1
Acacia phaeocalyx,species,Angiosperm,tree,broadleaved,,,,,,,,,25.21,6,,,,,,,1
Acacia phasmoides,species,Angiosperm,tree,broadleaved,,,,,,,,,14.73,6,,,,,,,1
Acacia pilligaensis,species,Angiosperm,tree,broadleaved,,,,,,,,,9.04,6,,,,,,,1
Acacia platycarpa,species,Angiosperm,tree,broadleaved,,,,,,,10,4,161.005,14,,,,,,,2
Acacia plectocarpa,species,Angiosperm,tree,broadleaved,15,,,,,,,,22,7,,,,,,,2
Acacia plicata,species,Angiosperm,tree,broadleaved,,,,,,,,,7.88,6,,,,,,,1
Acacia polyacantha,species,Angiosperm,tree,broadleaved,,,,,,,22.361,2,77.98,14,0.925,6,,,,0.925,3
Acacia polybotrya,species,Angiosperm,tree,broadleaved,,,,,,,,,27.255,13,,,,,,,1
Acacia polyphylla,species,Angiosperm,tree,broadleaved,75,2,,,,,7,1,,,0.615,10,,,,0.615,3
Acacia polystachya,species,Angiosperm,tree,broadleaved,,,,,,,,,17.01,6,,,,,,,1
Acacia pravissima,species,Angiosperm,tree,broadleaved,,,,,,,,,7.883,13,,,,,,,1
Acacia pringlei,species,Angiosperm,tree,broadleaved,,,,,,,,,32.46,6,,,,,,,1
Acacia prominens,species,Angiosperm,tree,broadleaved,,,,,,,15,2,14.801,12,,,,,,,2
Acacia pruinocarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,33.188,8,0.934,4,,,,0.934,2
Acacia pruinosa,species,Angiosperm,tree,broadleaved,,,,,,,,,21.464,7,,,,,,,1
Acacia pubescens,species,Angiosperm,tree,broadleaved,,,,,,,,,9.11,11,0.612,6,,,,0.612,2
Acacia pubifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,9.98,6,,,,,,,1
Acacia pustula,species,Angiosperm,tree,broadleaved,,,,,,,,,17.97,6,,,,,,,1
Acacia pycnantha,species,Angiosperm,tree,broadleaved,,,,,,,9.798,7,18.217,24,,,,,,,2
Acacia pycnostachya,species,Angiosperm,tree,broadleaved,,,,,,,,,13.75,6,,,,,,,1
Acacia pyrifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,41.854,12,,,,,,,1
Acacia quadrilateralis,species,Angiosperm,tree,broadleaved,,,,,,,,,10.64,6,,,,,,,1
Acacia quadrimarginea,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.92,2,,,,0.92,1
Acacia quornensis,species,Angiosperm,tree,broadleaved,,,,,,,,,17.45,11,,,,,,,1
Acacia reficiens,species,Angiosperm,tree,broadleaved,,,,,,,,,43.816,12,,,,,,,1
Acacia rehmanniana,species,Angiosperm,tree,broadleaved,,,,,,,6.604,3,78.91,6,,,,,,,2
Acacia repanda,species,Angiosperm,tree,broadleaved,,,,,,,,,5.7,6,,,,,,,1
Acacia resinimarginea,species,Angiosperm,tree,broadleaved,,,,,,,,,2.86,6,0.99,2,,,,0.99,2
Acacia retinodes,species,Angiosperm,tree,broadleaved,,,,,,,10,1,12.793,13,,,,,,,2
Acacia rhodoxylon,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.1,2,,,,1.1,1
Acacia riceana,species,Angiosperm,tree,broadleaved,,,,,,,,,9.16,7,,,,,,,1
Acacia richii,species,Angiosperm,tree,broadleaved,,,,,,,16,1,,,0.7,2,,,,0.7,2
Acacia robusta,species,Angiosperm,tree,broadleaved,8198.9,8,22.711,6,139.008,10,7.954,17,134.867,12,0.73,9,,,,0.73,6
Acacia robynsiana,species,Angiosperm,tree,broadleaved,,,,,,,,,167.76,6,,,,,,,1
Acacia rossei,species,Angiosperm,tree,broadleaved,,,,,,,,,35.93,6,,,,,,,1
Acacia rostellifera,species,Angiosperm,tree,broadleaved,,,,,,,,,18.34,6,,,,,,,1
Acacia rothii,species,Angiosperm,tree,broadleaved,,,,,,,,,219.48,6,,,,,,,1
Acacia rovumae,species,Angiosperm,tree,broadleaved,,,,,,,12.247,2,,,,,,,,,1
Acacia rubida,species,Angiosperm,tree,broadleaved,,,,,,,,,15.853,7,,,,,,,1
Acacia saliciformis,species,Angiosperm,tree,broadleaved,,,,,,,,,23.27,6,,,,,,,1
Acacia salicina,species,Angiosperm,tree,broadleaved,,,,,,,20,2,44.375,16,0.58,2,,,,0.58,3
Acacia saligna,species,Angiosperm,tree,broadleaved,,,,,,,6,2,16.686,6,,,,,,,2
Acacia schaffneri,species,Angiosperm,tree,broadleaved,,,,,,,,,103.61,12,,,,,,,1
Acacia schinoides,species,Angiosperm,tree,broadleaved,,,,,,,15,4,15.6,11,,,,,,,2
Acacia sclerophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,4.372,11,,,,,,,1
Acacia sclerosperma,species,Angiosperm,tree,broadleaved,,,,,,,,,217.453,12,0.86,2,,,,0.86,2
Acacia sekhukhuniensis,species,Angiosperm,tree,broadleaved,,,,,,,,,45.32,6,,,,,,,1
Acacia semirigida,species,Angiosperm,tree,broadleaved,,,,,,,,,27.8,11,,,,,,,1
Acacia senegal,species,Angiosperm,tree,broadleaved,,,42.427,8,44.544,8,4.998,8,88.664,21,,,,,,,4
Acacia senegalensis,species,Angiosperm,tree,broadleaved,1587.4,6,29.7,1,109.637,6,5.268,1,88.664,,,,,,,,5
Acacia sertiformis,species,Angiosperm,tree,broadleaved,,,,,,,,,43.16,6,,,,,,,1
Acacia seyal,species,Angiosperm,tree,broadleaved,,,24.68,1,,,7.985,6,42.856,21,,,,,,,3
Acacia shirleyi,species,Angiosperm,tree,broadleaved,675,1,,,,,8,1,13,7,0.94,8,,,,0.94,4
Acacia sibilans,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.97,2,,,,0.97,1
Acacia siculiformis,species,Angiosperm,tree,broadleaved,,,,,,,,,8.525,11,,,,,,,1
Acacia sieberiana,species,Angiosperm,tree,broadleaved,,,,,,,13.104,2,278.735,27,,,,,,,2
Acacia sieberiana var. woodii,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,13.104,3,,,,,,,,,1
Acacia silvestris,species,Angiosperm,tree,broadleaved,,,,,,,,,23.687,7,,,,,,,1
Acacia simsii,species,Angiosperm,tree,broadleaved,,,,,,,,,62.469,7,,,,,,,1
Acacia spectabilis,species,Angiosperm,tree,broadleaved,,,,,,,,,24.117,17,0.76,2,,,,0.76,2
Acacia stenophylla,species,Angiosperm,tree,broadleaved,825,1,,,389.105,1,10,3,96.045,12,0.758,6,,,,0.758,5
Acacia stereophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,3.16,12,,,,,,,1
Acacia stipuligera,species,Angiosperm,tree,broadleaved,,,,,,,,,10.24,6,0.81,2,,,,0.81,2
Acacia subangulata,species,Angiosperm,tree,broadleaved,,,,,,,,,543.55,6,,,,,,,1
Acacia subporosa,species,Angiosperm,tree,broadleaved,,,,,,,,,9.5,6,,,,,,,1
Acacia subtessarogona,species,Angiosperm,tree,broadleaved,,,,,,,,,,,1.09,2,,,,1.09,1
Acacia subulata,species,Angiosperm,tree,broadleaved,,,,,,,,,22.651,7,,,,,,,1
Acacia sulcata,species,Angiosperm,tree,broadleaved,,,,,,,,,2.48,6,,,,,,,1
Acacia tanganyikensis,species,Angiosperm,tree,broadleaved,,,,,,,,,167,7,,,,,,,1
Acacia telmica,species,Angiosperm,tree,broadleaved,,,,,,,,,24.53,6,,,,,,,1
Acacia tenuifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.49,2,,,,0.49,1
Acacia tomentosa,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.51,2,,,,0.51,1
Acacia tortuosa,species,Angiosperm,tree,broadleaved,,,,,,,6.096,1,59.52,8,,,,,,,2
Acacia torulosa,species,Angiosperm,tree,broadleaved,,,,,,,,,56.04,6,,,,,,,1
Acacia trachycarpa,species,Angiosperm,tree,broadleaved,,,,,,,,,21.994,7,,,,,,,1
Acacia trachyphloia,species,Angiosperm,tree,broadleaved,,,,,,,,,9.27,6,,,,,,,1
Acacia trinervata,species,Angiosperm,tree,broadleaved,,,,,,,,,14.72,6,0.75,2,,,,0.75,2
Acacia tucumanensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.715,2,,,,0.715,1
Acacia tumida,species,Angiosperm,tree,broadleaved,,,,,,,,,46.431,13,,,,,,,1
Acacia ulicina,species,Angiosperm,tree,broadleaved,,,,,,,,,5.09,6,,,,,,,1
Acacia undulifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,26.428,19,,,,,,,1
Acacia venulosa,species,Angiosperm,tree,broadleaved,,,,,,,,,8.947,11,,,,,,,1
Acacia veronica,species,Angiosperm,tree,broadleaved,,,,,,,,,25.85,6,,,,,,,1
Acacia vestita,species,Angiosperm,tree,broadleaved,,,,,,,,,24.482,17,,,,,,,1
Acacia viscidula,species,Angiosperm,tree,broadleaved,,,,,,,,,6.524,12,,,,,,,1
Acacia visco,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.848,4,,,,0.848,1
Acacia vittata,species,Angiosperm,tree,broadleaved,,,,,,,,,11.91,6,,,,,,,1
Acacia wattsiana,species,Angiosperm,tree,broadleaved,,,,,,,,,14.992,7,,,,,,,1
Acacia welwitschii,species,Angiosperm,tree,broadleaved,,,,,,,6.708,2,,,,,,,,,1
Acacia whibleyana,species,Angiosperm,tree,broadleaved,,,,,,,,,6.08,6,,,,,,,1
Acacia willardiana,species,Angiosperm,tree,broadleaved,,,,,,,,,60.8,11,,,,,,,1
Acacia xanthophloea,species,Angiosperm,tree,broadleaved,7,2,,,,,11.447,5,31.925,8,0.75,2,,,,0.75,4
Acacia xiphophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,71.23,6,1.13,2,,,,1.13,2
Acacia yorkrakinensis,species,Angiosperm,tree,broadleaved,,,,,,,,,15.21,6,,,,,,,1
Acalypha caturus,species,Angiosperm,tree,broadleaved,,,,,75.95,3,,,,,0.3,2,,,,0.3,2
Acalypha cuneata,species,Angiosperm,tree,broadleaved,11002.5,2,41.247,2,43.051,2,,,,,,,,,,,3
Acalypha macrostachya,species,Angiosperm,tree,broadleaved,11666.62,31,41.55,2,33.479,59,9.509,2,,,0.405,2,,,,0.405,5
Acalypha mapirensis,species,Angiosperm,tree,broadleaved,9500,1,,,,,,,,,,,,,,,1
Acanthocladus scleroxylon,species,Angiosperm,tree,broadleaved,2570.39,2,,,,,25,1,,,,,,,,,2
Acanthosyris annonagustata,species,Angiosperm,tree,broadleaved,2570.39,4,48.232,2,53.376,2,30,1,,,,,,,,,4
Acanthosyris falcata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.695,4,,,,0.695,1
Acanthosyris glabrata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.6,2,,,,0.6,1
Acer acuminatum,species,Angiosperm,tree,broadleaved,,,,,,,,,44.86,6,,,,,,,1
Acer amplum subsp. catalpifolium,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,16,1,,,0.45,2,,,,0.45,2
Acer argutum,species,Angiosperm,tree,broadleaved,,,,,,,,,19.679,11,,,,,,,1
Acer barbinerve,species,Angiosperm,tree,broadleaved,2001.5,,,,31.625,,12,1,57.24,6,,,,,,,4
Acer caesium,species,Angiosperm,tree,broadleaved,,,,,,,25,1,157.2,6,0.49,2,,,,0.49,3
Acer campbellii,species,Angiosperm,tree,broadleaved,,,,,,,15,1,454.55,7,0.49,2,,,,0.49,3
Acer campbellii subsp. sinense,variety or subspecies,Angiosperm,tree,broadleaved,,,,,30.003,1,11,1,,,,,,,,,2
Acer campestre,species,Angiosperm,tree,broadleaved,3146.41,32,21.331,30,72.148,72,12.217,103,122,74,0.607,52,,,,0.607,6
Acer capillipes,species,Angiosperm,tree,broadleaved,,,,,,,10,3,,,,,,,,,1
Acer cappadocicum,species,Angiosperm,tree,broadleaved,,,,,,,16.869,7,84.2,6,,,,,,,2
Acer cappadocicum subsp. lobelii,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,30,1,147,6,,,,,,,2
Acer cappadocicum subsp. sinicum,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,2,,,,0.55,1
Acer carpinifolium,species,Angiosperm,tree,broadleaved,,,,,,,,,16,7,,,,,,,1
Acer caudatifolium,species,Angiosperm,tree,broadleaved,,,,,,,20,1,19.57,6,,,,,,,2
Acer caudatum,species,Angiosperm,tree,broadleaved,,,,,42.017,1,20,2,13.056,12,,,,,,,3
Acer caudatum subsp. ukurundense,variety or subspecies,Angiosperm,tree,broadleaved,4542.29,,27.468,2,37.308,,15,1,,,,,,,,,4
Acer cissifolium,species,Angiosperm,tree,broadleaved,,,,,,,,,23.808,8,,,,,,,1
Acer cordatum,species,Angiosperm,tree,,700,2,13.464,2,60.157,2,10.373,3,,,,,,,,,4
Acer coriaceum,species,Angiosperm,tree,broadleaved,,,,,,,,,20,6,,,,,,,1
Acer davidii,species,Angiosperm,tree,broadleaved,,,29.3,1,69.013,1,12.247,8,26,6,0.455,4,,,,0.455,5
Acer diabolicum,species,Angiosperm,tree,broadleaved,,,,,,,,,39.06,7,,,,,,,1
Acer distylum,species,Angiosperm,tree,broadleaved,,,,,,,,,41.84,7,,,,,,,1
Acer flabellatum,species,Angiosperm,tree,broadleaved,,,,,,,10,1,,,,,,,,,1
Acer fraxinifolium,species,Angiosperm,tree,broadleaved,,,,,,,,,50,7,,,,,,,1
Acer garrettii,species,Angiosperm,tree,,,,,,,,20.5,1,,,,,,,,,1
Acer glabrum,species,Angiosperm,tree,broadleaved,3280.53,24,,,39.109,12,11.268,22,50.295,1,,,,,,,4
Acer granatense,species,Angiosperm,tree,broadleaved,,,,,,,15,2,39.38,2,,,,,,,2
Acer griseum,species,Angiosperm,tree,broadleaved,,,,,,,14.938,5,,,,,,,,,1
Acer grosseri,species,Angiosperm,tree,broadleaved,,,19.2,1,,,,,,,,,,,,,1
Acer heldreichii,species,Angiosperm,tree,broadleaved,,,,,,,15,5,223,6,,,,,,,2
Acer heldreichii subsp. trautvetteri,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,16,5,89,6,,,,,,,2
Acer henryi,species,Angiosperm,tree,broadleaved,,,,,,,10,3,19.38,6,,,,,,,2
Acer hyrcanum,species,Angiosperm,tree,broadleaved,,,,,,,10,3,35,6,,,,,,,2
Acer japonicum,species,Angiosperm,tree,broadleaved,,,,,30.807,1,10.436,4,41.387,18,,,,,,,3
Acer laevigatum,species,Angiosperm,tree,broadleaved,,,,,,,15,1,42,6,,,,,,,2
Acer laurinum,species,Angiosperm,tree,broadleaved,3019,1,,,,,9,1,,,0.534,2,,,,0.534,3
Acer longipes,species,Angiosperm,tree,broadleaved,,,,,38.008,1,15,1,,,,,,,,,2
Acer lucidum,species,Angiosperm,tree,broadleaved,,,,,,,10,1,,,,,,,,,1
Acer macrophyllum,species,Angiosperm,tree,broadleaved,11632.91,5,26.4,4,33.852,4,22.451,22,130.523,29,0.468,6,,,,0.468,6
Acer mandshuricum,species,Angiosperm,tree,broadleaved,9500,2,28.795,4,33.118,2,20.598,5,,,0.58,2,,,,0.58,5
Acer maximowiczianum,species,Angiosperm,tree,broadleaved,,,,,,,,,262,6,,,,,,,1
Acer micranthum,species,Angiosperm,tree,broadleaved,,,,,,,9.2,2,20.28,7,,,,,,,2
Acer miyabei,species,Angiosperm,tree,broadleaved,,,,,,,,,38,6,,,,,,,1
Acer monspessulanum,species,Angiosperm,tree,broadleaved,1232.88,5,19.562,13,84.904,32,7.666,37,26.681,10,0.9,19,,,,0.9,6
Acer monspessulanum subsp. ibericum,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,,,32.07,6,,,,,,,1
Acer negundo,species,Angiosperm,tree,broadleaved,,,28.35,19,44.796,82,10.025,75,29.733,48,0.448,12,,,,0.448,5
Acer oblongum,species,Angiosperm,tree,broadleaved,,,21.05,4,,,17.5,2,9.44,,0.6,2,,,,0.6,4
Acer obtusifolium,species,Angiosperm,tree,broadleaved,,,,,,,10,2,46.99,6,,,,,,,2
Acer oliverianum,species,Angiosperm,tree,broadleaved,,,,,,,7,1,,,,,,,,,1
Acer opalus,species,Angiosperm,tree,broadleaved,,,32.7,2,61.882,10,9.611,30,77,7,0.726,61,,,,0.726,5
Acer opalus subsp. obtusatum,variety or subspecies,Angiosperm,tree,broadleaved,8005.77,10,17.71,1,43.091,11,8.944,3,,,,,,,,,4
Acer pectinatum,species,Angiosperm,tree,broadleaved,,,,,,,8,1,12.9,6,,,,,,,2
Acer pectinatum subsp. laxiflorum,variety or subspecies,Angiosperm,tree,broadleaved,,,,,30.003,1,15,1,,,,,,,,,2
Acer pensylvanicum,species,Angiosperm,tree,broadleaved,12989.32,2376,20.769,370,35.092,2392,12.762,1556,39.742,21,0.455,2,,,,0.44,6
Acer pictum,species,Angiosperm,tree,broadleaved,2600.94,4,16,23,39.347,21,18.317,9,28.71,22,0.626,8,,,,0.626,6
Acer platanoides,species,Angiosperm,tree,broadleaved,7085.13,62,19.417,38,51.661,106,21.926,84,121.596,42,0.584,11,,,,0.584,6
Acer pseudoplatanus,species,Angiosperm,tree,broadleaved,8456.57,86,23.626,43,72.118,140,24.463,88,64.607,68,0.563,23,,,,0.563,6
Acer pseudosieboldianum,species,Angiosperm,tree,broadleaved,,,22.2,1,,,8,1,,,,,,,,,2
Acer rubrum,species,Angiosperm,tree,broadleaved,2989.66,129,17.809,283,58.657,205,14.119,153,21.934,40,0.568,5,,,,0.568,6
Acer rufinerve,species,Angiosperm,tree,broadleaved,,,,,,,,,26.46,7,,,,,,,1
Acer saccharinum,species,Angiosperm,tree,broadleaved,4605.58,3,23.66,1,51.099,15,33.665,29,156.199,27,0.51,3,,,,0.51,6
Acer saccharum,species,Angiosperm,tree,broadleaved,4735.7,3353,18.048,598,46.151,3462,32.935,2080,52.803,31,0.66,5,,,,0.66,6
Acer saccharum subsp. floridanum,variety or subspecies,Angiosperm,tree,broadleaved,,,10.35,4,,,,,,,,,,,,,1
Acer saccharum subsp. leucoderme,variety or subspecies,Angiosperm,tree,broadleaved,,,,,,,8.25,2,,,,,,,,,1
Acer saccharum subsp. nigrum,species,Angiosperm,tree,broadleaved,,,,,,,27.159,9,64.42,5,0.62,3,,,,0.62,3
Acer sieboldianum,species,Angiosperm,tree,broadleaved,,,,,,,,,53.432,8,,,,,,,1
Acer stachyophyllum,species,Angiosperm,tree,broadleaved,,,,,,,11,1,,,,,,,,,1
Acer tegmentosum,species,Angiosperm,tree,broadleaved,9094.85,2,24.651,6,30.457,2,14.565,5,35,6,,,,,,,5
Acer tonkinense,species,Angiosperm,tree,,,,,,,,12,1,,,,,,,,,1
Acer triflorum,species,Angiosperm,tree,broadleaved,,,,,,,25,1,,,,,,,,,1
Acer truncatum,species,Angiosperm,tree,broadleaved,,,25.1,1,,,10.323,4,86.904,8,0.59,2,,,,0.59,4
Acer velutinum,species,Angiosperm,tree,broadleaved,,,,,,,30,2,125,6,,,,,,,2
Acer zoeschense,species,Angiosperm,tree,broadleaved,,,,,,,,,61,6,,,,,,,1
Aceratium concinnum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.61,4,,,,0.61,1
Aceratium doggrellii,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.52,2,,,,0.52,1
Aceratium sericeum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.42,2,,,,0.42,1
Aceratium sericoleopsis,species,Angiosperm,tree,broadleaved,,,,,,,,,930,11,,,,,,,1
Acinodendron pohlianum,species,Angiosperm,tree,broadleaved,,,11.419,9,,,,,,,0.53,1,,,,0.53,2
Acioa edulis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.82,2,,,,0.82,1
Acioa guianensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.86,2,,,,0.86,1
Acmanthera latifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.69,2,,,,0.69,1
Acosmium cardenasii,species,Angiosperm,tree,broadleaved,636.5,,44,,58.929,4,,,,,0.963,,,,,0.963,4
Acosmium dasycarpum,species,Angiosperm,tree,broadleaved,,,22.582,19,,,,,,,0.7,2,,,,0.7,2
Acosmium nitens,species,Angiosperm,tree,broadleaved,3000,1,,,,,,,118,7,0.799,8,,,,0.799,3
Acosmium panamense,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.805,2,,,,0.805,1
Acosmium praeclarum,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.68,2,,,,0.68,1
Acosmium subelegans,species,Angiosperm,tree,broadleaved,,,26.35,1,,,,,,,0.71,,,,,0.71,2
Acradenia euodiiformis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.77,4,,,,0.77,1
Acrocarpus fraxinifolius,species,Angiosperm,tree,broadleaved,,,31,1,,,50,1,30.507,8,0.561,6,,,,0.561,4
Acronychia acidula,species,Angiosperm,tree,broadleaved,,,,,85.034,1,,,,,0.55,2,,,,0.55,2
Acronychia acronychioides,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.53,2,,,,0.53,1
Acronychia oblongifolia,species,Angiosperm,tree,broadleaved,,,,,,,,,2.16,4,,,,,,,1
Acronychia octandra,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,4,,,,0.55,1
Acronychia oligophlebia,species,Angiosperm,tree,broadleaved,,,,,,,16,1,,,0.37,2,,,,0.37,2
Acronychia pedunculata,species,Angiosperm,tree,broadleaved,5083.92,4,21,10,103.093,6,13.66,3,129.868,16,0.451,6,,,,0.451,6
Acronychia porteri,species,Angiosperm,tree,broadleaved,9050,1,,,,,28,1,,,0.52,2,,,,0.52,3
Acronychia pullei,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.65,2,,,,0.65,1
Acronychia tetrandra,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.71,4,,,,0.71,1
Acronychia trifoliolata,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,2,,,,0.55,1
Acronychia vestita,species,Angiosperm,tree,broadleaved,,,,,,,,,660,11,0.528,6,,,,0.528,2
Acronychia wilcoxiana,species,Angiosperm,tree,broadleaved,,,,,89.606,2,,,,,0.55,2,,,,0.55,2
Actephila mearsii,species,Angiosperm,tree,broadleaved,,,,,,,,,780,11,0.65,4,,,,0.65,2
Actinodaphne ambigua,species,Angiosperm,tree,broadleaved,1610,2,11.4,3,153.139,4,,,,,,,,,,,3
Actinodaphne angustifolia,species,Angiosperm,tree,broadleaved,15262.3,2,,,,,13.416,2,,,,,,,,,2
Actinodaphne borneensis,species,Angiosperm,tree,broadleaved,,,,,110.175,2,,,,,0.5,2,,,,0.5,2
Actinodaphne glabra,species,Angiosperm,tree,broadleaved,9050,1,,,,,30,1,,,0.52,2,,,,0.52,3
Actinodaphne glomerata,species,Angiosperm,tree,broadleaved,22984.99,3,12.03,1,80.841,1,16.987,2,,,0.41,2,,,,0.41,5
Actinodaphne macrophylla,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.59,2,,,,0.59,1
Actinodaphne malaccensis,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.55,2,,,,0.55,1
Actinodaphne multiflora,species,Angiosperm,tree,broadleaved,5227.04,2,,,,,20,2,,,,,,,,,2
Actinodaphne obovata,species,Angiosperm,tree,broadleaved,9050,1,,,,,16.971,2,,,,,,,,,2
